次数,特质重置消耗递增系数
int,int
times,speciality_reset_ratio
1,1
2,1
3,1
4,1
5,1
6,2
7,2
8,2
9,2
10,2
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,10
31,10
32,10
33,10
34,10
35,10
36,10
37,10
38,10
39,10
40,20
41,20
42,20
43,20
44,20
45,20
46,20
47,20
48,20
49,20
50,30
51,30
52,30
53,30
54,30
55,30
56,30
57,30
58,30
59,30
60,30
61,30
62,30
63,30
64,30
65,30
66,30
67,30
68,30
69,30
70,30
71,30
72,30
73,30
74,30
75,30
76,30
77,30
78,30
79,30
80,30
81,30
82,30
83,30
84,30
85,30
86,30
87,30
88,30
89,30
90,30
91,30
92,30
93,30
94,30
95,30
96,30
97,30
98,30
99,30
100,30
