道具id,道具名字,道具类型,道具品质,叠加数量,是否可出售,出售获得道具,物品可否使用,物品使用效果类型,物品的使用效果值,随机序列id,道具图标,道具介绍（不超过50字）,限时截至时间,使用该道具的球队等级条件,使用该道具的VIP等级条件,物品类型
int,string,int,int,int,int,ItemConfig,int,int,int,int,int,string,string,int,int,int
item_id,item_name,item_type,item_quality,overlay_num,is_sell,item_sell,is_use,use_result_type,use_result_value,odds_id,icon_id,item_describe,end_time,use_require_lv,use_require_vip_lv,bag_list_item_type
10000001,球队经验,10,4,0,0,0,0,0,0,0,10001,球队经验,0,0,0,0
10000002,金币,10,4,0,0,0,0,0,0,0,10001,金币,0,0,0,0
10000003,钻石,10,4,0,0,0,0,0,0,0,10002,钻石,0,0,0,0
10000004,符文碎片,10,4,0,0,0,0,0,0,0,10003,符文碎片,0,0,0,0
10000005,球员经验,10,4,0,0,0,0,0,0,0,10003,球员经验,0,0,0,0
20003001,手机,20,3,0,1,10000002_10,1,1,1,1,1003,手机,0,0,0,1
20004001,钱包,20,4,0,1,10000002_10,1,1,2,1,1003,钱包,0,0,0,1
30000101,nike1,30,1,0,0,0,0,0,0,0,30000101,nike1,0,0,0,3
30000102,nike2,30,1,0,0,0,0,0,0,0,30000102,nike2,0,0,0,3
30000103,nike3,30,1,0,0,0,0,0,0,0,30000103,nike3,0,0,0,3
30000104,nike4,30,1,0,0,0,0,0,0,0,30000104,nike4,0,0,0,3
30000105,nike5,30,1,0,0,0,0,0,0,0,30000105,nike5,0,0,0,3
30000201,nike6,30,2,0,0,0,0,0,0,0,30000201,nike6,0,0,0,3
30000202,nike7,30,2,0,0,0,0,0,0,0,30000202,nike7,0,0,0,3
30000203,nike8,30,2,0,0,0,0,0,0,0,30000203,nike8,0,0,0,3
30000204,nike9,30,2,0,0,0,0,0,0,0,30000204,nike9,0,0,0,3
30000205,nike10,30,2,0,0,0,0,0,0,0,30000205,nike10,0,0,0,3
30000301,nike11,30,3,0,0,0,0,0,0,0,30000301,nike11,0,0,0,3
30000302,nike12,30,3,0,0,0,0,0,0,0,30000302,nike12,0,0,0,3
30000303,nike13,30,3,0,0,0,0,0,0,0,30000303,nike13,0,0,0,3
30000304,nike14,30,3,0,0,0,0,0,0,0,30000304,nike14,0,0,0,3
30000305,nike15,30,3,0,0,0,0,0,0,0,30000305,nike15,0,0,0,3
90010410,樱木花道碎片,90,5,0,0,0,0,0,0,0,90010410,樱木花道碎片,0,0,0,4
90010311,流川枫碎片,90,5,0,0,0,0,0,0,0,90010311,流川枫碎片,0,0,0,4
90010504,赤木刚宪碎片,90,5,0,0,0,0,0,0,0,90010504,赤木刚宪碎片,0,0,0,4
90010107,宫城良田碎片,90,5,0,0,0,0,0,0,0,90010107,宫城良田碎片,0,0,0,4
90010214,三井寿碎片,90,5,0,0,0,0,0,0,0,90010214,三井寿碎片,0,0,0,4
90020307,仙道彰碎片,90,5,0,0,0,0,0,0,0,90020307,仙道彰碎片,0,0,0,4
90020504,鱼住纯碎片,90,5,0,0,0,0,0,0,0,90020504,鱼住纯碎片,0,0,0,4
90020413,福田吉兆碎片,90,5,0,0,0,0,0,0,0,90020413,福田吉兆碎片,0,0,0,4
90023408,植草智之碎片,90,5,0,0,0,0,0,0,0,90023408,植草智之碎片,0,0,0,4
90023406,越野宏明碎片,90,5,0,0,0,0,0,0,0,90023406,越野宏明碎片,0,0,0,4
90040104,藤真健司碎片,90,5,0,0,0,0,0,0,0,90040104,藤真健司碎片,0,0,0,4
91011001,表情_樱木花道_我是天才,91,3,0,0,0,1,2,91011001,0,10001,表情_樱木花道_我是天才,0,0,0,5
91011002,表情_樱木花道_可恶,91,3,0,0,0,1,2,91011002,0,10001,表情_樱木花道_可恶,0,0,0,5
91011003,表情_樱木花道,91,3,0,0,0,1,2,91011003,0,10001,表情_樱木花道,0,0,0,5
91011004,表情_樱木花道,91,3,0,0,0,1,2,91011004,0,10001,表情_樱木花道,0,0,0,5
91011005,表情_樱木花道,91,3,0,0,0,1,2,91011005,0,10001,表情_樱木花道,0,0,0,5
91011006,表情_樱木花道,91,3,0,0,0,1,2,91011006,0,10001,表情_樱木花道,0,0,0,5
91011007,表情_樱木花道,91,3,0,0,0,1,2,91011007,0,10001,表情_樱木花道,0,0,0,5
91011008,表情_樱木花道,91,3,0,0,0,1,2,91011008,0,10001,表情_樱木花道,0,0,0,5
91011009,表情_樱木花道,91,3,0,0,0,1,2,91011009,0,10001,表情_樱木花道,0,0,0,5
91011010,表情_樱木花道,91,3,0,0,0,1,2,91011010,0,10001,表情_樱木花道,0,0,0,5
91011011,表情_樱木花道,91,3,0,0,0,1,2,91011011,0,10001,表情_樱木花道,0,0,0,5
91011012,表情_樱木花道,91,4,0,0,0,1,2,91011012,0,10001,表情_樱木花道,0,0,0,5
91011013,表情_樱木花道,91,4,0,0,0,1,2,91011013,0,10001,表情_樱木花道,0,0,0,5
91011014,表情_樱木花道,91,4,0,0,0,1,2,91011014,0,10001,表情_樱木花道,0,0,0,5
91011015,表情_樱木花道,91,4,0,0,0,1,2,91011015,0,10001,表情_樱木花道,0,0,0,5
91011016,表情_樱木花道,91,4,0,0,0,1,2,91011016,0,10001,表情_樱木花道,0,0,0,5
91011017,表情_樱木花道,91,5,0,0,0,1,2,91011017,0,10001,表情_樱木花道,0,0,0,5
91011018,表情_樱木花道,91,5,0,0,0,1,2,91011018,0,10001,表情_樱木花道,0,0,0,5
91011019,表情_樱木花道,91,5,0,0,0,1,2,91011019,0,10001,表情_樱木花道,0,0,0,5
91011020,表情_樱木花道,91,5,0,0,0,1,2,91011020,0,10001,表情_樱木花道,0,0,0,5
91011021,表情_樱木花道,91,5,0,0,0,1,2,91011021,0,10001,表情_樱木花道,0,0,0,5
91011101,表情_流川枫,91,3,0,0,0,1,2,91011101,0,10001,表情_流川枫,0,0,0,5
91011102,表情_流川枫,91,3,0,0,0,1,2,91011102,0,10001,表情_流川枫,0,0,0,5
91011103,表情_流川枫,91,3,0,0,0,1,2,91011103,0,10001,表情_流川枫,0,0,0,5
91011104,表情_流川枫,91,3,0,0,0,1,2,91011104,0,10001,表情_流川枫,0,0,0,5
91011105,表情_流川枫,91,3,0,0,0,1,2,91011105,0,10001,表情_流川枫,0,0,0,5
91011106,表情_流川枫,91,3,0,0,0,1,2,91011106,0,10001,表情_流川枫,0,0,0,5
91011107,表情_流川枫,91,3,0,0,0,1,2,91011107,0,10001,表情_流川枫,0,0,0,5
91011108,表情_流川枫,91,3,0,0,0,1,2,91011108,0,10001,表情_流川枫,0,0,0,5
91011109,表情_流川枫,91,3,0,0,0,1,2,91011109,0,10001,表情_流川枫,0,0,0,5
91011110,表情_流川枫,91,3,0,0,0,1,2,91011110,0,10001,表情_流川枫,0,0,0,5
91011111,表情_流川枫,91,3,0,0,0,1,2,91011111,0,10001,表情_流川枫,0,0,0,5
91011112,表情_流川枫,91,4,0,0,0,1,2,91011112,0,10001,表情_流川枫,0,0,0,5
91011113,表情_流川枫,91,4,0,0,0,1,2,91011113,0,10001,表情_流川枫,0,0,0,5
91011114,表情_流川枫,91,4,0,0,0,1,2,91011114,0,10001,表情_流川枫,0,0,0,5
91011115,表情_流川枫,91,4,0,0,0,1,2,91011115,0,10001,表情_流川枫,0,0,0,5
91011116,表情_流川枫,91,4,0,0,0,1,2,91011116,0,10001,表情_流川枫,0,0,0,5
91011117,表情_流川枫,91,5,0,0,0,1,2,91011117,0,10001,表情_流川枫,0,0,0,5
91011118,表情_流川枫,91,5,0,0,0,1,2,91011118,0,10001,表情_流川枫,0,0,0,5
91011119,表情_流川枫,91,5,0,0,0,1,2,91011119,0,10001,表情_流川枫,0,0,0,5
91011120,表情_流川枫,91,5,0,0,0,1,2,91011120,0,10001,表情_流川枫,0,0,0,5
91011121,表情_流川枫,91,5,0,0,0,1,2,91011121,0,10001,表情_流川枫,0,0,0,5
91011122,表情_流川枫,91,5,0,0,0,1,2,91011122,0,10001,表情_流川枫,0,0,0,5
